# 2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
nan,nan,nan,nan,nan,nan,nan,nan,-36.4,-46.4,-37.8,-35.4,-25.2,-31.3,nan
nan,nan,nan,nan,nan,nan,nan,nan,-32.4,-48.4,-40.2,-33.0,-31.5,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,-33.1,-31.5,-33.5,-39.2,-32.9,-33.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,-33.2,-25.3,-35.7,-40.0,-16.5,-40.1,nan
nan,nan,nan,nan,nan,nan,nan,nan,-30.4,-16.9,-35.4,-36.9,-8.9,-39.8,nan
nan,nan,nan,nan,nan,nan,nan,nan,-26.0,-38.9,-36.0,-37.6,-6.7,-36.3,nan
nan,nan,nan,nan,nan,nan,nan,nan,-35.6,-43.4,-34.5,-33.2,-23.0,-30.6,nan
nan,nan,nan,nan,nan,nan,nan,nan,-38.7,-46.5,-23.1,-35.1,-36.1,-35.9,nan
nan,nan,nan,nan,nan,nan,nan,nan,-33.5,-42.0,-14.9,-34.3,-39.2,-38.5,nan
nan,nan,nan,nan,nan,nan,nan,nan,-23.2,-42.9,-35.5,-10.7,-36.1,-39.7,nan
nan,nan,nan,nan,nan,nan,nan,nan,-22.7,-45.8,-39.0,-11.9,-24.0,-41.2,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,-45.5,-20.4,-21.8,-29.2,-40.7,nan
nan,nan,nan,nan,nan,nan,nan,nan,-33.0,-43.4,-15.9,-23.1,nan,-40.5,nan
nan,nan,nan,nan,nan,nan,nan,nan,-24.9,-41.2,-27.1,-34.0,nan,-35.5,nan
nan,nan,nan,nan,nan,nan,nan,nan,-25.1,-35.9,-31.3,-36.4,-10.7,-32.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-41.5,-39.2,-35.4,-34.0,-3.2,-36.3,nan
nan,nan,nan,nan,nan,nan,nan,nan,-45.3,-33.4,-37.0,-35.1,-18.6,-26.3,nan
nan,nan,nan,nan,nan,nan,nan,nan,-42.4,-16.0,-31.6,-30.3,-22.6,-20.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-23.2,-30.4,-31.7,-21.9,-22.5,-25.3,nan
nan,nan,nan,nan,nan,nan,nan,nan,-20.0,-32.5,nan,-22.4,-25.5,-30.8,nan
nan,nan,nan,nan,nan,nan,nan,nan,-34.8,-17.9,-17.3,-25.9,-8.5,-32.3,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,-10.5,-11.3,-27.0,-19.4,-34.5,nan
nan,nan,nan,nan,nan,nan,nan,nan,-33.5,-14.7,-14.4,-9.7,-10.1,-37.1,nan
nan,nan,nan,nan,nan,nan,nan,nan,-37.0,-8.4,-16.4,-13.4,-16.4,-22.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.4,-17.9,-15.9,-12.4,-21.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-35.8,-3.8,-12.3,-22.2,-22.9,-16.5,nan
nan,nan,nan,nan,nan,nan,nan,nan,-38.6,-11.7,-10.2,nan,-16.3,-12.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,-39.7,-16.9,nan,-6.3,-21.7,-13.1,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-21.1,-17.9,-12.8,-1.1,nan
nan,nan,nan,nan,nan,nan,nan,nan,-30.4,-7.7,nan,-18.9,-13.0,-16.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-36.9,-0.4,-8.8,-20.1,-21.0,-16.9,nan
nan,nan,nan,nan,nan,nan,nan,nan,-34.9,-5.9,-9.5,-14.7,-20.8,-11.6,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.5,-9.9,nan,-22.4,-20.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,-15.6,-16.0,1.1,-20.4,-17.9,-3.8,nan
nan,nan,nan,nan,nan,nan,nan,nan,-20.4,-18.7,-23.8,-24.2,-20.4,-3.3,nan
nan,nan,nan,nan,nan,nan,nan,nan,-28.4,-25.5,-27.1,-15.5,-16.8,-24.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-31.0,nan,-19.5,-18.0,-5.6,nan,nan
nan,nan,nan,nan,nan,nan,nan,-21.4,-29.5,-4.5,-23.0,-21.4,-17.6,-7.4,nan
nan,nan,nan,nan,nan,nan,nan,nan,-28.7,-19.4,-25.3,-23.4,-0.8,-24.9,nan
nan,nan,nan,nan,nan,nan,nan,-15.0,-26.0,-21.6,-11.1,-25.8,-2.5,-6.6,nan
nan,nan,nan,nan,nan,nan,nan,-20.0,nan,-12.8,-14.0,-22.7,4.5,-15.5,nan
